电影名称,电影链接
奇幻变身大冒险,https://www.themoviedb.org/movie/1007757-swapped
肖申克的救赎,https://www.themoviedb.org/movie/278-the-shawshank-redemption
挽救计划,https://www.themoviedb.org/movie/687163-project-hail-mary
迈克尔·杰克逊：巨星之路,https://www.themoviedb.org/movie/936075-michael
教父,https://www.themoviedb.org/movie/238-the-godfather
幸运有八只触手,https://www.themoviedb.org/movie/1330021-remarkably-bright-creatures
教父2,https://www.themoviedb.org/movie/240-the-godfather-part-ii
辛德勒的名单,https://www.themoviedb.org/movie/424-schindler-s-list
十二怒汉,https://www.themoviedb.org/movie/389-12-angry-men
千与千寻,https://www.themoviedb.org/movie/129
蝙蝠侠：黑暗骑士,https://www.themoviedb.org/movie/155-the-dark-knight
保护者,https://www.themoviedb.org/movie/1383731-protector
勇夺芳心,https://www.themoviedb.org/movie/19404
绿里奇迹,https://www.themoviedb.org/movie/497-the-green-mile
指环王3：王者无敌,https://www.themoviedb.org/movie/122-the-lord-of-the-rings-the-return-of-the-king
要不要做我儿子？,https://www.themoviedb.org/movie/1181678-quieres-ser-mi-hijo
寄生虫,https://www.themoviedb.org/movie/496243
低俗小说,https://www.themoviedb.org/movie/680-pulp-fiction
你的名字。,https://www.themoviedb.org/movie/372058
星际穿越,https://www.themoviedb.org/movie/157336-interstellar
Selena Gomez: My Mind & Me,https://www.themoviedb.org/movie/1022256-selena-gomez-my-mind-me
黄金三镖客,https://www.themoviedb.org/movie/429-il-buono-il-brutto-il-cattivo
阿甘正传,https://www.themoviedb.org/movie/13-forrest-gump
每个人的每件事,https://www.themoviedb.org/movie/576712-everybody-s-everything
好家伙,https://www.themoviedb.org/movie/769-goodfellas
七武士,https://www.themoviedb.org/movie/346
大卫·爱登堡：地球上的一段生命旅程,https://www.themoviedb.org/movie/664280-david-attenborough-a-life-on-our-planet
萤火虫之墓,https://www.themoviedb.org/movie/12477
美丽人生,https://www.themoviedb.org/movie/637-la-vita-e-bella
搏击俱乐部,https://www.themoviedb.org/movie/550-fight-club
切腹,https://www.themoviedb.org/movie/14537
